pix,class
48,1
128,1
0,1
4,1
18,1
10,1
405,1
0,1
6,1
105,1
41,1
9,1
0,1
20,1
0,1
11,1
44,1
10,1
88,1
8,1
6,1
7,1
67,1
0,1
61,1
190,1
88,1
6,1
6,1
6,1
57,1
55,1
5,1
6,1
56,1
17,1
3,1
97,1
6,1
42,1
204,1
3,1
14,1
18,1
181,1
5,1
220,1
0,1
16,1
0,1
12,1
27,1
2,1
44,1
88,1
42,1
1,1
33,1
8,1
2,1
455,1
2,1
2,1
2,1
40,1
39,1
21,1
38,1
394,1
1,1
48,1
34,1
14,1
359,1
0,1
0,1
45,1
49,1
66,1
15,1
0,1
100,1
1,1
7,1
0,1
55,1
251,1
27,1
37,1
1,1
28,1
0,1
0,1
130,1
14,1
21,1
20,1
86,1
6,1
0,1
118,1
4,1
1746,1
89,1
47,1
167,1
8,1
22,1
52,1
53,1
1,1
35,1
195,1
30,1
36,1
176,1
85,1
5,1
93,1
2,1
20,1
9,1
20,1
0,1
78,1
19,1
29,1
26,1
135,1
145,1
29,1
206,1
135,1
21,1
32,1
79,1
16,1
4,1
22,1
1,1
66,1
2,1
5,1
269,1
1,1
6,1
715,1
71,1
232,1
48,1
130,1
0,1
4,1
1,1
4,1
13,1
0,1
103,1
48,1
92,1
196,1
6,1
19,1
4,1
4,1
9,1
302,1
47,1
160,1
1,1
5,1
23,1
134,1
0,1
48,1
120,1
5,1
3,1
23,1
312,1
0,1
3,1
6,1
50,1
1,1
16,1
123,1
75,1
100,1
15,1
153,1
285,1
50,1
178,1
92,1
39,1
10,1
1,1
9,1
6,1
53,1
48,1
219,1
1,1
68,1
213,1
389,1
30,1
258,1
433,1
4,1
